id,scientific_name,common_name_th,common_name_en,category,care_level,origin_country,description_th,description_en,care_instructions,water_needs,light_needs,humidity_needs,temperature_min,temperature_max,growth_rate,max_height,max_width,is_poisonous,is_rare,is_trending
1,Monstera deliciosa,มอนสเตอร่า ดีลิซิโอโซ,Swiss Cheese Plant,indoor,moderate,Mexico,มอนสเตอร่า ดีลิซิโอโซ เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Swiss Cheese Plant is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,500.0,150.0,TRUE,FALSE,TRUE
2,Monstera deliciosa 'Thai Constellation',มอนสเตอร่า ไทย คอนสเตลเลชัน,Monstera Thai Constellation,indoor,moderate,Thailand,มอนสเตอร่า ไทย คอนสเตลเลชัน เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Monstera Thai Constellation is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,500.0,150.0,TRUE,TRUE,TRUE
3,Monstera deliciosa 'Albo-Variegata',มอนสเตอร่า อัลโบ ด่างขาว,Deliciosa Albo Variegata,indoor,moderate,Thailand,มอนสเตอร่า อัลโบ ด่างขาว เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Deliciosa Albo Variegata is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,500.0,150.0,TRUE,TRUE,TRUE
4,Monstera deliciosa 'Aurea Variegata',มอนสเตอร่า ออเรอา ด่างเหลือง,Deliciosa Aurea Variegata,indoor,moderate,Thailand,มอนสเตอร่า ออเรอา ด่างเหลือง เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Deliciosa Aurea Variegata is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,500.0,150.0,TRUE,TRUE,TRUE
5,Monstera adansonii,มอนสเตอร่า หน้ากากลิง,Adansonii (Monkey Mask),indoor,moderate,Peru,มอนสเตอร่า หน้ากากลิง เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Adansonii (Monkey Mask) is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,250.0,150.0,TRUE,FALSE,TRUE
6,Monstera adansonii 'Variegata',มอนสเตอร่า หน้ากากลิง ลายด่าง,Adansonii Variegata,indoor,moderate,Thailand,มอนสเตอร่า หน้ากากลิง ลายด่าง เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Adansonii Variegata is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,250.0,150.0,TRUE,TRUE,TRUE
7,Monstera adansonii 'Mint',มอนสเตอร่า อดานโซนี มิ้นต์,Adansonii Mint Variegata,indoor,moderate,Thailand,มอนสเตอร่า อดานโซนี มิ้นต์ เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Adansonii Mint Variegata is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,250.0,150.0,TRUE,TRUE,TRUE
8,Monstera obliqua (Peru),มอนสเตอร่า โอบลีกวา เปรู,Obliqua Peru,indoor,moderate,Peru,มอนสเตอร่า โอบลีกวา เปรู เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Obliqua Peru is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,very_high,16.0,32.0,slow,200.0,150.0,TRUE,TRUE,TRUE
9,Monstera siltepecana,มอนสเตอร่า ซิลเทเปคานา,Silver Monstera,indoor,moderate,Mexico,มอนสเตอร่า ซิลเทเปคานา เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Silver Monstera is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,250.0,150.0,TRUE,FALSE,TRUE
10,Monstera standleyana,มอนสเตอร่า สแตนด์เลยานา,Standleyana,indoor,moderate,Panama,มอนสเตอร่า สแตนด์เลยานา เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Standleyana is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,250.0,150.0,TRUE,FALSE,TRUE
11,Monstera dubia,มอนสเตอร่า ดูเบีย,Dubia,indoor,moderate,Costa Rica,มอนสเตอร่า ดูเบีย เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Dubia is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,250.0,150.0,TRUE,FALSE,TRUE
12,Monstera pinnatipartita,มอนสเตอร่า พินนาติพาร์ทิตา,Pinnatipartita,indoor,moderate,Ecuador,มอนสเตอร่า พินนาติพาร์ทิตา เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Pinnatipartita is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,250.0,150.0,TRUE,FALSE,TRUE
13,Monstera karstenianum,มอนสเตอร่า เปรู (คาร์สเตเนียนุม),Monstera Peru (Karstenianum),indoor,moderate,Peru,มอนสเตอร่า เปรู (คาร์สเตเนียนุม) เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Monstera Peru (Karstenianum) is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,250.0,150.0,TRUE,FALSE,TRUE
14,Monstera lechleriana,มอนสเตอร่า เลชเลอริอานา,Lechleriana,indoor,moderate,Peru,มอนสเตอร่า เลชเลอริอานา เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Lechleriana is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,250.0,150.0,TRUE,FALSE,TRUE
15,Monstera subpinnata,มอนสเตอร่า ซับพินนาตา,Subpinnata,indoor,moderate,Bolivia,มอนสเตอร่า ซับพินนาตา เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Subpinnata is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,250.0,150.0,TRUE,FALSE,TRUE
16,Monstera acuminata,มอนสเตอร่า อะคูมินาตา,Acuminata,indoor,moderate,Mexico,มอนสเตอร่า อะคูมินาตา เป็นไม้เลื้อยวงศ์ Araceae ใบสวยโดดเด่น เหมาะปลูกในที่มีแสงรำไร ความชื้นค่อนข้างสูง วัสดุปลูกโปร่ง,"Acuminata is a climbing aroid with ornamental foliage, best grown in bright indirect light and relatively high humidity in a chunky mix.",รดน้ำปานกลาง ปล่อยให้หน้าดินแห้งเล็กน้อยก่อนรดครั้งถัดไป ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+ดินใบ) ให้ค้ำยัน/มอสสติ๊กเพื่อเร่งใบใหญ่ ความชื้น 60–80%,moderate,indirect,high,16.0,32.0,moderate,250.0,150.0,TRUE,FALSE,TRUE
17,Philodendron erubescens 'Pink Princess',ฟิโลเดนดรอน พิงค์ พรินเซส,Pink Princess,indoor,moderate,Colombia,ฟิโลเดนดรอน พิงค์ พรินเซส เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Pink Princess is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,TRUE,TRUE
18,Philodendron 'White Knight',ฟิโลเดนดรอน ไวท์ ไนท์,White Knight,indoor,moderate,Indonesia,ฟิโลเดนดรอน ไวท์ ไนท์ เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"White Knight is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,TRUE,TRUE
19,Philodendron 'White Wizard',ฟิโลเดนดรอน ไวท์ วิซาร์ด,White Wizard,indoor,moderate,Indonesia,ฟิโลเดนดรอน ไวท์ วิซาร์ด เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"White Wizard is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,TRUE,TRUE
20,Philodendron hederaceum,ฟิโลเดนดรอน หัวใจ,Heartleaf Philodendron,indoor,moderate,Mexico,ฟิโลเดนดรอน หัวใจ เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Heartleaf Philodendron is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,fast,300.0,120.0,TRUE,FALSE,TRUE
21,Philodendron hederaceum 'Brasil',ฟิโลเดนดรอน บราซิล,Philodendron Brasil,indoor,moderate,Guatemala,ฟิโลเดนดรอน บราซิล เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Philodendron Brasil is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,fast,300.0,120.0,TRUE,FALSE,TRUE
22,Philodendron hederaceum 'Micans',ฟิโลเดนดรอน ไมแคนส์,Micans,indoor,moderate,Mexico,ฟิโลเดนดรอน ไมแคนส์ เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Micans is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,fast,300.0,120.0,TRUE,FALSE,TRUE
